defect_id,DE_mean,radius,CTQ1,CTQ2,Defect?
d1,2.858682007045131,56.1472282409668,True,False,True
d2,4.467037479905731,56.51558303833008,True,False,True
d3,7.817676458862722,55.47915267944336,True,False,True
d4,2.718375922934666,55.73166275024414,False,False,False
d5,6.57424054942844,55.915802001953125,True,False,True
d6,4.510094002922452,55.77436065673828,True,False,True
d7,4.175618589648768,56.078155517578125,True,False,True
d8,4.092232270145483,70.78321838378906,True,True,True
d9,2.975795338369703,51.381370544433594,True,True,True
d10,3.954703298708972,49.38909912109375,True,True,True
d11,3.539423369040845,55.84718704223633,True,False,True
d12,3.6683115682283964,55.701595306396484,True,False,True
d13,7.420588246300269,55.7401008605957,True,False,True
d14,2.7444469282207633,70.11428833007812,False,True,True
