trial,operator,sample_id,DE_mean,D_radius,CTQ1,CTQ2,Defect?,circularity
,,d1,3.1865242190514627,0.6870384216308594,True,False,True,0.8815671302195738
,,d2,4.691458618268926,0.3672370910644531,True,False,True,0.8868750838269602
,,d3,7.613863878217291,1.0998573303222656,True,False,True,0.8562537721327933
,,d4,2.671495862134315,0.7085838317871094,False,False,False,0.8850649315620526
,,d5,6.338800148907711,1.0566368103027344,True,False,True,0.8911202275524926
,,d6,4.276377799434606,0.9635467529296875,True,False,True,0.8703643917692703
,,d7,4.085177554866694,0.7226943969726562,True,False,True,0.5605426581387606
,,d8,4.442201610224283,0.8333969116210938,True,False,True,0.7154978713679474
,,d9,3.9876930284794345,4.801994323730469,True,True,True,0.8867690094084503
,,d10,5.131494874963422,6.9599151611328125,True,True,True,0.8797017396619643
,,d11,3.6137925773850603,0.8104896545410156,True,False,True,0.8779331075026747
,,d12,3.6549907035571163,0.9407005310058594,True,False,True,0.881813266843425
,,d13,7.777917853963226,0.5131988525390625,True,False,True,0.8881627785523235
,,d14,2.7018907613276637,13.400741577148438,False,True,True,0.8494901205810669
,,s3,5.5595431868439125,0.2562103271484375,True,False,True,0.8642806234647985
,,s4,2.4042045132030987,0.4019050598144531,False,False,False,0.8636623335759841
,,s7,2.6421376649218486,0.24438858032226562,False,False,False,0.8667955384981484
,,s10,5.166019095066026,0.2640533447265625,True,False,True,0.8766604673155854
,,s12,3.4535347849155236,0.206298828125,True,False,True,0.736779330000211
,,s13,2.229234843853094,3.411998748779297,False,True,True,0.8734379024848646
,,s18,1.840984980500812,5.521919250488281,False,True,True,0.8760843907399993
,,s19,2.3079596470807187,0.16383743286132812,False,False,False,0.8658377448998679
,,s20,2.0457046060405357,0.1207733154296875,False,False,False,0.8777700549090613
,,s21,2.3203821115264525,12.297462463378906,False,True,True,0.8852296166088207
,,s22,4.797908966278979,3.8773956298828125,True,True,True,0.8556320395680524
,,s3,5.700689067025535,0.3040008544921875,True,False,True,0.8712575770218967
,,s4,1.9630343713725997,0.3257293701171875,False,False,False,0.865410523063673
,,s7,3.0181536396599387,0.12761688232421875,True,False,True,0.872666555189148
,,s10,4.811349682859953,0.02683258056640625,True,False,True,0.8621100863868665
,,s12,2.967756850187111,0.36608123779296875,True,False,True,0.7870903181850989
,,s13,2.3278083250036654,2.8019561767578125,False,True,True,0.8618799103668218
,,s18,1.9105175824937979,5.754550933837891,False,True,True,0.8640222251352155
,,s19,2.287806312966303,0.111419677734375,False,False,False,0.8691894851987987
,,s20,2.328674553847551,0.3802604675292969,False,False,False,0.8769148068137399
,,s21,2.268005887375155,12.557613372802734,False,True,True,0.8706401465368385
,,s22,3.828400439172024,4.38763427734375,True,True,True,0.8317670062137997
,,s3,5.9091845924979625,0.10324478149414062,True,False,True,0.8445535523654308
,,s4,1.9395444244304683,0.049739837646484375,False,False,False,0.8716418430089682
,,s7,2.697200636048598,0.040897369384765625,False,False,False,0.874966881919505
,,s10,4.959238381164587,0.4499015808105469,True,False,True,0.8679272861392653
,,s12,3.2024441625810454,0.22328567504882812,True,False,True,0.777731325548414
,,s13,2.2795107297387416,3.168689727783203,False,True,True,0.8706672172030798
,,s18,1.8472461918257703,6.011463165283203,False,True,True,0.8733593484841989
,,s19,2.353899754909518,0.64886474609375,False,False,False,0.8735684397349925
,,s20,1.6479927879975569,0.32662200927734375,False,False,False,0.875728285377133
,,s21,2.184992566101417,12.523666381835938,False,True,True,0.8840205005260396
,,s22,4.53091191844128,3.233287811279297,True,True,True,0.8385147974974132
,,s0,1.4160165388480142,0.4126167297363281,False,False,False,0.8681111228314387
,,s3,5.848262581403064,0.17500686645507812,True,False,True,0.8789844963845039
,,s4,1.4631186467103552,0.18022537231445312,False,False,False,0.8810513673114432
,,s7,2.5668497211786128,0.26662445068359375,False,False,False,0.8653616122075258
,,s10,4.861077739047967,0.44903564453125,True,False,True,0.8601519484538398
,,s12,3.2533693743896364,0.1124725341796875,True,False,True,0.7609131287418245
,,s13,2.395420478503398,3.7693824768066406,False,True,True,0.8606668282270891
,,s18,2.289853389398817,5.510372161865234,False,True,True,0.8752321034501795
,,s19,2.1614950280522165,0.3686180114746094,False,False,False,0.8667537062995667
,,s20,1.671884118805673,0.23997879028320312,False,False,False,0.8809930226354421
,,s21,2.316219172758244,11.967330932617188,False,True,True,0.8777458484855885
,,s22,3.94927398309637,3.9564437866210938,True,True,True,0.8491166398894539
,,s0,1.398080630949958,0.33565521240234375,False,False,False,0.8847413682498372
,,s3,5.999494622335505,1.0656318664550781,True,False,True,0.8683311583741063
,,s4,1.4635019275738013,0.3406028747558594,False,False,False,0.8751487869355216
,,s7,2.56871611227373,0.2389373779296875,False,False,False,0.8759716874729349
,,s10,5.236617265478773,0.3515434265136719,True,False,True,0.878327231530716
,,s12,3.3594607142078123,0.2858848571777344,True,False,True,0.779796637768623
,,s13,2.4335919940881547,3.6285018920898438,False,True,True,0.859655325423671
,,s18,1.9903912860292023,5.718696594238281,False,True,True,0.8613306267454865
,,s19,2.6042829420177394,0.24947738647460938,False,False,False,0.8738278868578039
,,s20,1.6442970823114733,0.3709373474121094,False,False,False,0.8795806378052407
,,s21,2.2942757127433993,12.339893341064453,False,True,True,0.8720581586133357
,,s22,3.9975379569031735,3.8994712829589844,True,True,True,0.8449160863934048
,,s0,1.5266942813086488,1.3421554565429688,False,True,True,0.8575814343693803
,,s3,5.989002407467139,0.6196746826171875,True,False,True,0.8276291565050681
,,s4,1.5209473323272165,0.11807632446289062,False,False,False,0.8727342998015103
,,s7,2.713761913621569,0.026515960693359375,False,False,False,0.8630707964847535
,,s10,4.776562862767732,0.5799407958984375,True,False,True,0.8662824140676052
,,s12,3.199605923419593,0.3265953063964844,True,False,True,0.7707389961030995
,,s13,2.390422698197826,3.8827896118164062,False,True,True,0.8707007416788285
,,s18,2.043417514263422,5.3296356201171875,False,True,True,0.8663662483859762
,,s19,2.45946330460252,0.2552337646484375,False,False,False,0.8698782637970995
,,s20,1.5190259026763864,0.14897537231445312,False,False,False,0.873328732735448
,,s21,2.2928283042400017,12.029708862304688,False,True,True,0.8605840691336656
,,s22,4.024502739455643,4.977684020996094,True,True,True,0.8498125900763936
